"Date/Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID","madar"
"9/10/22 18:41","Castle Rock","WA","USA","Cross","1 minute video","Took a video of the sun against the smokey sky and saw a quick black object","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171687.html","398X2022.11.14.18.04.39",FALSE
"9/10/22 18:20","Owensboro","KY","USA","Formation","10 minutes","Cluster formation erratic movement and finally came to standstill and consolidated","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171694.html","399X2022.11.14.18.04.39",FALSE
"9/10/22 13:35","Cocoa Beach","FL","USA","Changing","photos of a ufo over NASA","We didnt see it in the sky. No sound. No one on the beach seemed to notice.","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171723.html","400X2022.11.14.18.04.39",FALSE
"9/10/22 01:00","Saint Peters","MO","USA","Unknown","10 minutes, maybe longer","Bright light surrounded by light orb moving in zigzags and swirls slowly & quickly. Stopped quickly. Stayed perfectly still at times.","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171671.html","401X2022.11.14.18.04.39",FALSE
"9/9/22 22:10","Ocean City","NJ","USA","Changing","Observed for 10 minutes","Observed an object alternating Red and Green light","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171704.html","402X2022.11.14.18.04.39",FALSE
"9/9/22 21:20","coeur d alene","","USA","Light","About 5 minutes","I saw it flashing light on and off slowly .then it started to go red and green.","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171672.html","403X2022.11.14.18.04.39",FALSE
"9/9/22 20:15","Evansville","IN","USA","Triangle","Around 2 minutes","2 objects came from east to west.","10/8/22","","https://www.nuforc.org/webreports/reports/172/S172044.html","404X2022.11.14.18.04.39",FALSE
"9/9/22 19:34","Edmond","OK","USA","Other","5 to 7 minutes","Very bright white, much slower that a jet","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171665.html","405X2022.11.14.18.04.39",FALSE
"9/9/22 19:12","Juazeiro Do Norte","Ceará","Brazil","Circle","5-10 minutes","The circle was moving onto my right","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171793.html","406X2022.11.14.18.04.39",FALSE
"9/9/22 19:05","plymouth","","United Kingdom","Circle","","took a picture of the sun rising only saw the dot to the right of tge photo. zoomed in and this is what I saw","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171693.html","407X2022.11.14.18.04.39",FALSE
"9/9/22 18:58","Laurel","MS","USA","Oval","20","Onject as bright as the sun.","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171678.html","408X2022.11.14.18.04.39",FALSE
"9/9/22 18:55","Libertyville","IL","USA","Other","","Corner of Rockland Rd and Milwaukee Ave on Sept 9 2022 at approximately 6:55pmin in Libertyville IL","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171675.html","409X2022.11.14.18.04.39",FALSE
"9/9/22 17:45","Chicago , montrose harbor","IL","USA","Triangle","20 min","Three pointed star fish shaped craft with fire underneath very high above airlines coming in over the lake stood there and did not move","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171673.html","410X2022.11.14.18.04.39",FALSE
"9/9/22 14:28","Los Lunas","NM","USA","Oval","3 Minutes","Amazing close-up photo of this aerial phenomena","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171807.html","411X2022.11.14.18.04.39",FALSE
"9/9/22 06:00","Huntington Beach","CA","USA","Circle","2 minutes","Having coffee in my back yard","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171706.html","412X2022.11.14.18.04.39",FALSE
"9/9/22 02:15","Los lunas","NM","USA","Oval","3min","You better check out my photo its pretty good","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171808.html","413X2022.11.14.18.04.39",FALSE
"9/9/22 01:09","Pearl City","HI","USA","Star","Several minutes and years","Saw the crafts moving across sky.","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171883.html","414X2022.11.14.18.04.39",FALSE
"9/9/22 00:30","Bradenton","FL","USA","Star","Around four hours","They come from all directions to one location then head out in a group","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171790.html","415X2022.11.14.18.04.39",FALSE
"9/9/22 00:11","East Stroudsburg","PA","USA","Star","60 seconds","Two stars moving slowly one got very bright then both disappeared","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171653.html","416X2022.11.14.18.04.39",FALSE
"9/8/22 21:00","Fyffe","AL","USA","Circle","Still in sky","Spinning circular with red n yellow flashing lights","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171657.html","417X2022.11.14.18.04.39",FALSE
"9/8/22 21:00","Mount Joy","PA","USA","Light","Approximately 10 minutes","3 or 4 lights moving at high speeds","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171658.html","418X2022.11.14.18.04.39",FALSE
"9/8/22 20:43","Kearney","MO","USA","Light","3 mins","An unusual flashing light","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171664.html","419X2022.11.14.18.04.39",FALSE
"9/8/22 20:40","Taunton","MA","USA","Other","30 seconds","I saw a crescent shaped yellow white object spinning downward then it faded into the sky","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171837.html","420X2022.11.14.18.04.39",FALSE
"9/8/22 19:58","Farmington","MO","USA","Star","3 minutes","Bright yellow Light moving at steady speed across field.","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171785.html","421X2022.11.14.18.04.39",FALSE
"9/8/22 18:20","Lancaster","PA","USA","Sphere","Around 7 seconds","White Sphere","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171656.html","422X2022.11.14.18.04.39",FALSE
"9/8/22 08:30","Palm Beach Gardens","FL","USA","Sphere","5 mins","glowing disk surrounded by a white aura and moving slowly","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171643.html","423X2022.11.14.18.04.39",FALSE
"9/8/22 06:25","Jamaica","VA","USA","Star","10 minutes","Saw one stationary star-shaped object and two others that disappeared when I glanced at them.","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171646.html","424X2022.11.14.18.04.39",FALSE
"9/8/22 04:30","Reading","PA","USA","Circle","1 hour","This was pulsing multi colored lights","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171652.html","425X2022.11.14.18.04.39",FALSE
"9/7/22 23:13","Manhattan","NY","USA","Changing","9:00pm~through 2:00 am","Irrefutable","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171748.html","426X2022.11.14.18.04.39",FALSE
"9/7/22 23:00","andrews","NC","USA","Changing","we watched for 30 minutes","my sister and i both videoed at the same time","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171737.html","427X2022.11.14.18.04.39",FALSE
"9/7/22 19:45","Mobile","AL","USA","Light","10 minutes","Red lights one after the other, quiet following same pattern in sky from north to east. Three at one time side by side then single fil","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171642.html","428X2022.11.14.18.04.39",FALSE
"9/7/22 19:30","Pendleton","OR","USA","Light","60 seconds","Bright light over a hill around twilight. Thought was star or venus but it moved straight up at a steady pace, almost like a distant r","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171650.html","429X2022.11.14.18.04.39",FALSE
"9/7/22 17:15","Salford","","United Kingdom","Disk","Minute or two","Metallic disc spotted below heavy clouds","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171668.html","430X2022.11.14.18.04.39",FALSE
