"","Date/Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID","madar"
"1212","11/1/21 13:00","Zoar (Small town in america)","OH","USA","Chevron","Approximately one hour","Flew in front of my house about 300 ft up and it stopped over the lot across the street. I walked up to back corner of it. Flys silent.","3/4/22",NA,"https://www.nuforc.org/webreports/reports/165/S165969.html","816X2022.04.30.18.48.21",FALSE
"1213","10/30/21 21:30","Loch Lomond (UK/Scotland)","West Dunbartonshire","United Kingdom","Triangle","~1minute","Triangle craft 100 feet above us","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166357.html","819X2022.04.30.18.48.21",FALSE
"1214","10/28/21 07:40","Union",NA,"USA","Cylinder","10 seconds","It was moving away from me. Looked like shiny airplane without wings or tail. NO windows.","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166004.html","825X2022.04.30.18.48.21",FALSE
"1215","10/27/21 19:35","Emporium","PA","USA","Rectangle","20 minutes","Watched it cross the sky","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166558.html","826X2022.04.30.18.48.21",FALSE
"1216","10/21/21 19:00","Redmond","OR","USA",NA,"15 min","Several pictures several videos live","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166680.html","833X2022.04.30.18.48.21",FALSE
"1217","10/21/21 06:58","Premont","TX","USA","Star","29 seconds","Early morning, full moon star on left of moon started moving from our left to our right, crossing in front of the moon and continued","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166150.html","834X2022.04.30.18.48.21",FALSE
"1218","10/20/21 22:00","Sartell","MN","USA","Formation","5 seconds","I saw 7-9 lights flying in a v-formation.","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166787.html","835X2022.04.30.18.48.21",FALSE
"1219","10/20/21 22:00","Buckner","MO","USA","Other","15-30 seconds?","4 Round Lights around 2-3 feet separating them","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166055.html","836X2022.04.30.18.48.21",FALSE
"1220","10/20/21 20:30","Sedona","AZ","USA","Other","ten minutes","Row of bright equidistant stationary horizontal lights rapidly flashing back and forth, then went dark. NOT Starlink","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166392.html","837X2022.04.30.18.48.21",FALSE
"1221","10/20/21 16:15","Mandeville","LA","USA","Rectangle","Just a few seconds","5 seconds total?","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166219.html","838X2022.04.30.18.48.21",FALSE
"1222","10/19/21 16:48","Ft Worth","TX","USA","Cigar","Clip was 39 seconds","Video taped while flying kite. Did not notice disk flying across sky also until clip was viewed.","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166057.html","839X2022.04.30.18.48.21",FALSE
"1223","10/18/21 18:09","King of Prussia","PA","USA","Changing","A few minutes","I took pictures of a sunset only to afterwards see this odd shape-shifting thing in the pictures. It moves counter to the clouds.","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166834.html","840X2022.04.30.18.48.21",FALSE
"1224","10/17/21 17:11","Cincinnati","OH","USA","Unknown","2 seconds","Contact me","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166421.html","841X2022.04.30.18.48.21",FALSE
"1225","10/16/21 22:57","Cypress","TX","USA","Sphere","23 seconds","Sphere (orb) visible only with IR camera flying very low over the lake.","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166398.html","842X2022.04.30.18.48.21",FALSE
"1226","10/16/21 17:00","Sumter","SC","USA","Sphere","30 seconds","Saw roating round globe moving low above our treeline rotating white to black.","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166684.html","843X2022.04.30.18.48.21",FALSE
"1227","10/15/21 11:04","Idaho national forest","ID","USA","Other","5 minutes","This summer while doing research on bigfoots, I ram across 3 different alenis thru out the summer. I've been going to the same place","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166108.html","844X2022.04.30.18.48.21",FALSE
"1228","10/14/21 02:02","Osterville","MA","USA","Light","2-3 minutes","I saw this flashing light in the north east horizon that was flashing in and out and darting across the sky.","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166111.html","845X2022.04.30.18.48.21",FALSE
"1229","10/13/21 03:00","Beavercreek",NA,NA,"Unknown","5 seconds","Very bright blue.and white lights","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166182.html","846X2022.04.30.18.48.21",FALSE
"1230","10/10/21 23:02","Sale","Manchester","United Kingdom","Circle","10 seconds","Came out and noticed a bright light. Took our phone to zoom in and noticed it moving very fast and also moving up and down.","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166804.html","847X2022.04.30.18.48.21",FALSE
"1231","10/7/21 23:38","Fort Worth","TX","USA","Circle","2 hours","I saw what I thought was a bright star outside my apartment. That thing followed me in my work truck staying on my side of the truc","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166028.html","848X2022.04.30.18.48.21",FALSE
"1232","10/7/21 16:00","Long Beach","CA","USA","Changing","all day","I was filming the sunset","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166231.html","849X2022.04.30.18.48.21",FALSE
"1233","10/5/21 21:00","Helper","UT","USA","Light","More than 30 minutes","Bright multicolored light stationary in the night sky, sighted 2 different nights from camp.","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166896.html","850X2022.04.30.18.48.21",FALSE
"1234","10/4/21 19:21","Garden Grove","CA","USA","Light","4 seconds","""Streaking Green Light""  ((NUFORC Note:  Good video, but anomalous light may be a lens flare, caused by a car headlight.  PD))","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166509.html","851X2022.04.30.18.48.21",FALSE
"1235","10/1/21 10:25","Griffin","GA","USA","Oval","2 - 3 Minutes","Green Pacman","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166780.html","852X2022.04.30.18.48.21",FALSE
"1236","9/26/21 15:00","Wattstown Rhondda Valleys, S.Wales","Rhondda Cynon Taf (UK/England","United Kingdom","Disk","seconds","I had seen it in the corner of my eye at about 1.30 as I was leaving town. I got back about 3pm and went straight to where I saw it.","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166846.html","853X2022.04.30.18.48.21",FALSE
"1237","9/26/21 11:00","Seymour","CT","USA","Light","3 seconds","Blue light with absolute definition seen over Seymour","3/4/22",NA,"https://www.nuforc.org/webreports/reports/165/S165946.html","854X2022.04.30.18.48.21",FALSE
